objID;RAdeg;DEdeg;XposW1;XposW2;YposW1;YposW2;FW1;FW2;e_XposW1;e_XposW2;e_YposW1;e_YposW2;e_FW1;e_FW2;q_W1;q_W2;rchi2W1;rchi2W2;fFW1;fFW2;FW1lbs;FW2lbs;e_FW1lbs;e_FW2lbs;fwhmW1;fwhmW2;SpModW1;SpModW2;e_SpModW1;e_SpModW2;skyW1;skyW2;RAW1deg;RAW2deg;DEW1deg;DEW2deg;coaddID;detIDW1;detIDW2;nmW1;nmW2;PrimW1;PrimW2;FlagsW1;FlagsW2;f_FlagsW1;f_FlagsW2;Prim
0015p106o0006307;1.2893076;10.2355111;545.014;544.995;1344.481;1344.673;1.30870e+02;2.98324e+02;0.094;0.182;0.097;0.181;7.16430e+00;2.93072e+01;1.00000;1.00000;4.4740e-01;4.3396e-01;0.9330;0.9967;1.30648e+02;2.88667e+02;7.32471e+00;3.00952e+01;2.6361;2.8571;-1.289785e-03;5.368531e-03;2.005611e-03;0.003722;-1.75205e+00;-2.09253e+00;1.2893076;1.2891582;10.2355111;10.2354964;0015p106;0015p106w1o0011156;0015p106w2o0006081;146;128;1;1;0;0;0;0;1
3448p000o0011158;344.8671923;-0.0145389;1004.467;1004.468;1034.052;1034.065;4.12815e+03;4.54927e+03;0.005;0.015;0.005;0.015;1.36142e+01;3.90413e+01;1.00000;1.00000;5.0875e+00;1.3695e+00;0.9738;0.9709;4.13318e+03;4.58486e+03;1.38459e+01;3.99484e+01;2.6387;2.8639;3.324151e-04;6.845593e-04;1.500806e-04;0.000348;-1.49467e+00;-1.61152e+00;344.8671923;344.8671828;-0.0145389;-0.0145384;3448p000;3448p000w1o0019333;3448p000w2o0010935;113;108;1;1;0;0;0;0;1
0444m182o0007982;44.6693677;-18.4467056;665.389;665.479;695.691;695.664;3.64526e+02;8.76576e+02;0.033;0.058;0.033;0.057;7.24562e+00;2.77527e+01;1.00000;1.00000;6.2741e-01;4.4394e-01;0.9938;0.9987;3.65812e+02;8.76906e+02;7.39898e+00;2.84530e+01;2.6286;2.8474;-4.545450e-04;-1.171231e-04;7.607296e-04;0.001209;-9.16671e-01;-2.13534e+00;44.6693677;44.6693890;-18.4467056;-18.4466366;0444m182;0444m182w1o0013791;0444m182w2o0007800;143;140;1;1;0;0;0;0;1
3513m591o0028152;351.2110207;-58.2989005;2024.157;2024.153;1126.338;1126.330;4.54796e+03;5.77049e+03;0.004;0.010;0.004;0.010;1.29932e+01;3.61180e+01;1.00000;1.00000;4.5789e+00;1.4503e+00;0.9985;0.9993;4.55003e+03;5.76809e+03;1.32119e+01;3.69151e+01;2.6381;2.8642;-6.073713e-05;-4.461408e-04;1.402657e-04;0.000269;-7.83018e-01;-3.45212e-02;351.2110207;351.2110324;-58.2989005;-58.2989032;3513m591;3513m591w1o0044392;3513m591w2o0026862;154;149;0;0;0;0;0;0;0
2445p060o0021808;244.1178954;6.3597161;1419.012;1419.014;1595.939;1595.943;1.30303e+03;2.19552e+03;0.011;0.025;0.010;0.024;9.05406e+00;3.13851e+01;1.00000;1.00000;6.5522e-01;9.1846e-01;0.9655;0.9815;1.30774e+03;2.21439e+03;9.23756e+00;3.21674e+01;2.6284;2.8419;-5.290508e-04;-1.960933e-03;2.985910e-04;0.000584;-1.04949e+00;-3.40536e+00;244.1178954;244.1178920;6.3597161;6.3597176;2445p060;2445p060w1o0032548;2445p060w2o0020446;153;142;1;1;0;0;0;0;1
0693p242o0014147;69.0377146;24.1392412;903.671;903.664;1405.870;1405.858;1.25068e+03;1.57852e+03;0.013;0.041;0.013;0.038;1.00437e+01;3.47827e+01;1.00000;1.00000;4.7058e-01;5.1680e-01;0.9915;0.9991;1.25243e+03;1.59643e+03;1.02435e+01;3.56703e+01;2.6356;2.8582;2.801418e-06;-1.215041e-03;3.268252e-04;0.000860;-8.31296e-01;-4.10669e+00;69.0377146;69.0377241;24.1392412;24.1392360;0693p242;0693p242w1o0020110;0693p242w2o0013124;125;117;1;1;0;0;0;0;1
0190p181o0011608;19.6414223;18.1817280;1035.752;1035.763;264.132;264.133;2.68602e+03;3.53572e+03;0.006;0.018;0.006;0.018;1.16226e+01;3.65708e+01;1.00000;1.00000;2.3026e+00;4.3378e-01;0.9779;0.9773;2.68915e+03;3.52725e+03;1.18292e+01;3.74261e+01;2.6266;2.8463;-1.331568e-04;3.681183e-04;1.905085e-04;0.000418;-1.31962e+00;-9.70100e-01;19.6414223;19.6414212;18.1817280;18.1817359;0190p181;0190p181w1o0020589;0190p181w2o0011339;129;116;1;1;0;0;0;0;1
2576p348o0021950;257.7689366;35.0102350;1256.594;1256.460;912.333;912.369;8.83896e+01;1.32161e+03;0.107;0.033;0.102;0.030;5.34835e+00;2.39854e+01;1.00000;1.00000;7.3680e-01;9.2319e-01;0.8221;0.9827;8.94497e+01;1.33376e+03;5.46693e+00;2.45720e+01;2.6406;2.8564;-2.059937e-03;-1.725495e-03;2.232708e-03;0.000732;-9.73121e-01;-3.28851e+00;257.7689366;257.7689027;35.0102350;35.0101332;2576p348;2576p348w1o0029951;2576p348w2o0020474;224;221;1;1;0;0;0;0;1
0729m182o0020524;73.3605073;-17.8651951;1426.327;1426.343;514.158;514.178;6.58167e+03;8.63953e+03;0.003;0.007;0.003;0.007;1.50164e+01;4.04827e+01;1.00000;1.00000;1.1235e+01;2.6554e+00;0.9990;0.9989;6.58335e+03;8.65027e+03;1.52680e+01;4.13471e+01;2.6221;2.8431;-3.524423e-04;-9.698868e-04;1.190492e-04;0.000211;-1.47474e+00;-2.66671e+00;73.3605073;73.3604912;-17.8651951;-17.8651828;0729m182;0729m182w1o0031002;0729m182w2o0019389;153;153;1;1;0;0;0;0;1
1815p106o0000434;180.8138316;9.8483995;39.086;38.998;1958.032;1957.768;2.47475e+02;3.39204e+02;0.058;0.171;0.054;0.161;8.06238e+00;3.03730e+01;1.00000;1.00000;1.3993e+00;5.9195e-01;0.9869;0.9956;2.45484e+02;3.47087e+02;8.23945e+00;3.11722e+01;2.6343;2.8572;-1.902163e-03;4.631162e-03;1.228467e-03;0.003449;9.81542e-02;3.45435e-01;180.8138316;180.8140364;9.8483995;9.8483328;1815p106;1815p106w1o0000799;1815p106w2o0000440;118;118;1;1;0;0;0;0;1
1482p000o0022387;147.6267784;0.6855527;1921.044;1921.103;1820.865;1820.887;9.01685e+02;1.05841e+03;0.017;0.057;0.016;0.053;9.05836e+00;3.20029e+01;1.00000;1.00000;4.7823e-01;3.6116e-01;0.9803;0.9876;8.99552e+02;1.06983e+03;9.24247e+00;3.28224e+01;2.6336;2.8505;-2.717972e-04;-7.141232e-04;4.052850e-04;0.001184;-1.93464e+00;-3.02421e+00;147.6267784;147.6267618;0.6855527;0.6855975;1482p000;1482p000w1o0037920;1482p000w2o0021658;121;113;1;1;0;0;0;0;1
2589p620o0011230;260.1624913;61.7637813;600.571;600.618;270.760;270.674;3.07112e+02;7.12383e+02;0.031;0.047;0.028;0.044;5.64521e+00;1.84681e+01;1.00000;1.00000;1.1287e+00;1.5714e+00;0.4239;0.5904;3.14759e+02;7.18050e+02;5.74853e+00;1.89005e+01;2.6323;2.8577;-1.839042e-03;3.632069e-03;7.523869e-04;0.001041;-1.87782e+00;6.93776e-02;260.1624913;260.1626313;61.7637813;61.7638160;2589p620;2589p620w1o0014449;2589p620w2o0010509;547;547;1;1;34;2;0;0;1
